Item,Value,Pos0
Alor_Setar,STONE,Malaysia
Ang_Mo_Kio,38199,Singapore
Bali,STONE,Indonesia
Bang_Kapi_District,STONE,Thailand
Bang_Rak_District,STONE,Thailand
Bangkok,STONE,Thailand
Bukit_Batok,38199,Singapore
Bà_Rịa_-_Vũng_Tàu_Province,STONE,Vietnam
CHECK,STONE,tree
Calabarzon,STONE,Philippines
Cambodia,25553,Cambodia
Cebu_City,STONE,Philippines
Central,23283,Singapore
Central_Visayas,STONE,Philippines
Changi,67700,Singapore
Chiang_Mai_City_Municipality,STONE,Thailand
Chiang_Rai_City_Municipality,STONE,Thailand
Choa_Chu_Kang,38199,Singapore
Civic_District,STONE,Singapore
Clementi,38199,Singapore
Davao_City,STONE,Philippines
Davao_Region,STONE,Philippines
Downtown_Core,23283,Singapore
Eastern_Visayas,STONE,Philippines
George_Town,STONE,Malaysia
Geylang,23283,Singapore
Hat_Yai,STONE,Thailand
Ho_Chi_Minh_City,STONE,Vietnam
Hougang,38199,Singapore
Hà_Nội,STONE,Vietnam
Hội_An,STONE,Vietnam
Ilocos_Region,STONE,Philippines
Indonesia,38065,Indonesia
Ipoh,STONE,Malaysia
Iskandar_Puteri,STONE,Malaysia
Johor,STONE,Malaysia
Johor_Bahru,STONE,Malaysia
Jurong_East,38199,Singapore
Jurong_West,38199,Singapore
Kedah,STONE,Malaysia
Khlong_San_District,STONE,Thailand
Khlong_Toei_District,STONE,Thailand
Klang_City,STONE,Malaysia
Kon_Tum_Province,STONE,Vietnam
Kuala_Lumpur,STONE,Malaysia
Kuching,STONE,Malaysia
Laos,5592,Laos
Luang_Prabang,STONE,Laos
MANUAL,STONE,tree
Makati,STONE,Philippines
Malaysia,26172,Malaysia
Mandalay,STONE,Myanmar
Mandaluyong,STONE,Philippines
Manila,STONE,Philippines
Metro_Manila,STONE,Philippines
Miri,STONE,Malaysia
Mu_1,STONE,Thailand
Mu_3,STONE,Thailand
Myanmar,26163,Myanmar
Nong_Chok_District,STONE,Thailand
Northeast,2046,Singapore
Northwest,2046,Singapore
Outram,23283,Singapore
Pak_Kret_City_Municipality,STONE,Thailand
Pasay,STONE,Philippines
Pasir_Ris,38199,Singapore
Penang,STONE,Malaysia
Perak,STONE,Malaysia
Philippines,27579,Philippines
Phnom_Penh,STONE,Cambodia
Phra_Nakhon_District,STONE,Thailand
Phra_Nakhon_Si_Ayutthaya_City_Municipality,STONE,Thailand
Pom_Prap_Sattru_Phai_District,STONE,Thailand
Punggol,38199,Singapore
Putrajaya,STONE,Malaysia
Queenstown,38199,Singapore
Quảng_Nam_Province,STONE,Vietnam
Riverside,38199,Singapore
Samphanthawong_District,STONE,Thailand
Sarawak,STONE,Malaysia
Sathon_District,STONE,Thailand
Selangor,STONE,Malaysia
Seletar,67700,Singapore
Sengkang,38199,Singapore
Sepang,STONE,Malaysia
Shah_Alam,STONE,Malaysia
Singapore,891,Singapore
Southeast,2046,Singapore
Southwest,2046,Singapore
Suan_Luang_District,STONE,Thailand
THIS,STONE,tree
Tacloban,STONE,Philippines
Taling_Chan_District,STONE,Thailand
Tampines,38199,Singapore
Telok_Blangah,38199,Singapore
Thailand,38122,Thailand
Ungasan,STONE,Indonesia
Vietnam,26662,Vietnam
Vigan,STONE,Philippines
Vũng_Tàu,STONE,Vietnam
Woodlands,38199,Singapore
Yishun,38199,Singapore
spawn,STONE,spawn
tree,STONE,tree
Seng_Kang,STONE,Singapore
